1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,sum,expectation,
16730,0,16574,16656,16810,16644,16586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
30815,0,0,2749,0,8447,5490,13894,10907,8334,11016,2754,5594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
42113,0,0,0,0,428,0,2659,4664,7020,1373,8805,8448,6956,4598,2732,8392,462,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
51749,0,0,0,0,0,0,60,297,832,0,2745,1619,5323,6231,6416,3979,5222,6156,2638,1530,760,4063,73,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
59576,0,0,0,0,0,0,0,0,14,0,173,76,867,1627,2356,472,4175,3289,4944,4725,4041,4743,2469,1575,891,451,180,3269,16,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
66450,0,0,0,0,0,0,0,0,0,0,2,0,40,123,272,12,909,543,2079,2759,3265,1419,3731,3638,3218,2710,1966,3606,877,1457,253,118,47,11,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
72056,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,71,22,332,532,872,162,1644,2208,2523,2887,2920,1318,2573,2779,1707,1247,896,551,257,2126,77,34,11,178,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
76915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,27,35,107,8,298,525,752,1046,1407,195,2054,1779,2261,2256,2007,1705,1444,2179,723,483,336,1100,106,175,17,5,1,51,0,0,0,0,0,1,0,0,0,0,0,0,0,,,
80569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,0,36,46,113,198,300,8,723,477,1155,1401,1644,1740,1843,899,1587,1412,1221,1703,684,954,321,239,105,499,28,18,4,2,0,57,0,0,0,0,0,0,0,,,
83794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,13,39,0,119,90,321,437,598,788,972,208,1342,1412,1442,1164,1277,1354,998,725,576,1121,293,198,134,64,39,440,10,2,2,0,0,17,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83794,0,16574,16656,16810,16644,16586,13894,10907,8334,11016,8805,8448,6956,6231,6416,8392,5222,6156,4944,4725,4041,4743,3731,3638,3218,2887,2920,3606,2573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16730,0,49722,66624,84050,99864,116102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433092,4.33092,1
30815,0,0,10996,0,50682,38430,111152,98163,83340,121176,33048,72722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650524,6.50524,2
42113,0,0,0,0,2568,0,21272,41976,70200,15103,105660,109824,97384,68970,43712,142664,8316,25650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795412,7.95412,3
51749,0,0,0,0,0,0,480,2673,8320,0,32940,21047,74522,93465,102656,67643,93996,116964,52760,32130,16720,93449,1752,0,0,0,0,8903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872169,8.72169,4
59576,0,0,0,0,0,0,0,0,140,0,2076,988,12138,24405,37696,8024,75150,62491,98880,99225,88902,109089,59256,39375,23166,12177,5040,94801,480,2201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915276,9.15276,5
66450,0,0,0,0,0,0,0,0,0,0,24,0,560,1845,4352,204,16362,10317,41580,57939,71830,32637,89544,90950,83668,73170,55048,104574,26310,45167,8096,3894,1598,385,0,18315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904819,9.04819,6
72056,0,0,0,0,0,0,0,0,0,0,0,0,0,45,192,0,1278,418,6640,11172,19184,3726,39456,55200,65598,77949,81760,38222,77190,86149,54624,41151,30464,19285,9252,78662,2926,1326,440,7298,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881749,8.81749,7
76915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,540,735,2354,184,7152,13125,19552,28242,39396,5655,61620,55149,72352,74448,68238,59675,51984,80623,27474,18837,13440,45100,4452,7525,748,225,46,2397,0,0,0,0,0,53,0,0,0,0,0,0,0,838272,8.38272,8
80569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,126,132,0,864,1150,2938,5346,8400,232,21690,14787,36960,46233,55896,60900,66348,33263,60306,55068,48840,69823,28728,41022,14124,10755,4830,23453,1344,882,200,102,0,3021,0,0,0,0,0,0,0,798372,7.98372,9
83794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,75,156,351,1092,0,3570,2790,10272,14421,20332,27580,34992,7696,50996,55068,57680,47724,53634,58222,43912,32625,26496,52687,14064,9702,6700,3264,2028,23320,540,110,112,0,0,1003,0,747056,7.47056,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,608703,0,0,0,0,0,0,2489,9959,24977,0,52765,41589,45042,36397,31647,52793,23468,27660,12190,6934,3461,18274,351,0,0,0,0,1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.608703,0,0,0,0,0,0,0.002489,0.009959,0.024977,0,0.052765,0.041589,0.045042,0.036397,0.031647,0.052793,0.023468,0.02766,0.01219,0.006934,0.003461,0.018274,0.000351,0,0,0,0,0.001301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.391297,1,1,1,1,1,1,0.997511,0.990041,0.975023,1,0.947235,0.958411,0.954958,0.963603,0.968353,0.947207,0.976532,0.97234,0.98781,0.993066,0.996539,0.981726,0.999649,1,1,1,1,0.998699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,